gender,genderLooking,age,agecode,counts_pictures,counts_profileVisits,counts_kisses,counts_fans,flirtInterests_chat,flirtInterests_friends,flirtInterests_date
Female,None,22,over21,5,1270,15,0,true,true,true
Female,Male,22,over21,25,5650,79,0,true,true,true
Female,None,23,over21,1,9602,187,2,false,false,false
Female,Male,26,over21,5,1858,37,0,true,true,true
Female,Male,20,under21,11,5767,152,0,false,true,true
Female,Male,19,under21,11,2924,37,0,false,true,false
Female,Male,23,over21,1,2076,58,1,true,false,false
Female,Male,22,over21,5,6399,314,0,true,true,false
Female,Male,21,under21,4,6719,325,0,false,true,false
Female,Male,19,under21,10,2817,168,1,true,true,false
Female,Male,25,over21,5,9046,171,0,true,true,true
Female,Male,19,under21,6,4860,214,0,true,true,true
Female,Male,19,under21,5,9841,300,8,false,false,false
Female,Male,23,over21,9,4875,91,0,true,true,true
Female,Male,20,under21,7,3869,79,0,true,false,false
Female,Male,24,over21,6,5917,136,6,false,true,false
Female,Male,21,under21,3,11919,260,0,true,true,true
Female,Male,23,over21,0,18,1,0,true,true,true
Female,Male,21,under21,1,2815,98,1,true,true,false
Female,None,20,under21,10,3277,20,3,true,false,false
Female,Male,23,over21,6,16729,414,0,true,false,false
Female,Male,22,over21,4,19444,421,3,true,true,true
Female,Male,22,over21,15,15606,453,0,false,true,false
Female,Male,23,over21,5,7026,134,0,false,false,false
Female,Male,23,over21,4,13832,204,0,true,true,true
Female,Male,21,under21,2,8060,285,3,false,true,true
Female,Male,20,under21,4,6515,173,0,true,true,true
Female,Male,24,over21,7,5104,167,0,true,false,false
Female,Male,19,under21,3,1499,51,0,false,true,false
Female,Male,23,over21,5,1490,38,0,false,false,false
Female,Male,19,under21,4,1131,6,0,true,false,false
Female,Male,22,over21,9,7103,854,2,false,true,false
Female,Male,20,under21,1,9334,304,1,true,false,false
Female,Male,19,under21,6,12937,317,0,false,true,false
Female,Male,23,over21,4,9818,529,0,false,true,false
Female,Male,19,under21,2,3604,70,1,true,true,false
Female,Male,20,under21,13,3625,60,0,true,false,false
Female,None,22,over21,5,3544,177,0,false,false,false
Female,Male,21,under21,5,3458,103,0,false,true,false
Female,Male,25,over21,5,4304,82,0,true,true,true
Female,Male,19,under21,4,20140,1135,0,false,true,false
Female,Male,24,over21,4,535,9,0,true,true,true
Female,None,20,under21,7,9069,372,1,true,true,false
Female,Male,21,under21,2,6950,178,0,true,false,false
Female,Male,20,under21,4,4079,62,1,true,true,true
Female,Male,21,under21,7,8741,154,0,false,true,false
Female,Male,20,under21,0,1269,56,1,true,false,false
Female,None,22,over21,17,12607,480,0,true,true,true
Female,Male,19,under21,7,3020,255,0,true,true,true
Female,Male,21,under21,4,1590,23,0,true,false,true
Female,Male,23,over21,3,12249,327,2,true,false,false
Female,Male,20,under21,4,2237,139,0,false,true,false
Female,Male,23,over21,2,5206,102,2,false,true,false
Female,Male,21,under21,5,12442,562,0,true,false,false
Female,Male,21,under21,0,6367,328,13,true,false,false
Female,Male,23,over21,5,8805,146,20,true,true,true
Female,None,24,over21,1,9702,276,5,false,false,true
Female,Male,19,under21,4,5510,178,0,true,false,false
Female,Male,22,over21,12,4567,261,0,true,true,true
Female,Male,19,under21,3,6336,155,1,true,true,false
Female,Male,21,under21,5,1295,29,13,true,true,false
Female,Male,22,over21,4,3271,108,0,true,false,false
Female,Male,21,under21,3,3264,175,0,false,true,false
Female,Male,23,over21,9,3258,61,0,false,false,true
Female,None,21,under21,10,9629,214,1,true,true,true
Female,Male,22,over21,10,9868,771,3,false,true,false
Female,Male,19,under21,4,6562,69,2,false,false,false
Female,Male,25,over21,7,9852,501,0,true,true,true
Female,Male,24,over21,7,346,9,4,true,true,false
Female,Male,19,under21,4,6986,223,0,false,true,false
Female,Male,19,under21,5,4366,106,17,false,false,false
Female,Male,24,over21,7,8467,170,0,false,true,false
Female,Male,22,over21,3,7128,171,0,true,true,true
Female,Male,21,under21,11,1342,22,0,false,false,true
Female,Male,21,under21,16,17517,1169,1,true,false,false
Female,Male,21,under21,2,1503,51,0,false,true,false
Female,Male,23,over21,4,385,2,7,false,false,false
Female,Male,22,over21,1,8819,186,1,true,false,false
Female,Male,21,under21,8,6036,130,1,true,true,false
Female,Male,21,under21,2,11817,513,0,false,true,false
Female,Male,20,under21,1,1193,58,0,false,false,true
Female,Male,24,over21,9,442,19,0,false,false,false
Female,Male,25,over21,5,11454,580,0,false,false,true
Female,Male,24,over21,5,148,0,0,false,false,false
Female,Male,22,over21,13,4613,79,0,false,false,true
Female,Male,22,over21,7,23750,813,0,true,false,false
Female,Male,21,under21,3,12421,264,0,true,true,true
Female,Male,24,over21,0,31,0,0,true,true,true
Female,Male,25,over21,2,2090,19,0,true,true,true
Female,Male,19,under21,27,8337,94,0,false,true,false
Female,Male,24,over21,5,5005,84,0,true,true,false
Female,Male,19,under21,1,354,0,0,false,true,false
Female,Male,20,under21,9,821,27,0,true,true,false
Female,Male,20,under21,3,3563,100,0,true,true,false
Female,Male,22,over21,30,9743,543,1,false,true,false
Female,Male,19,under21,11,5000,101,0,true,false,false
Female,Male,19,under21,9,12788,608,32,false,true,false
Female,Male,19,under21,16,1900,98,1,true,true,false
Female,Male,20,under21,18,9958,290,0,true,true,true
Female,Male,20,under21,18,10905,243,4,true,true,true
Female,Male,23,over21,2,5681,154,0,true,true,true
Female,Male,26,over21,0,317,8,0,false,false,false
Female,Male,24,over21,3,10366,418,0,true,true,false
Female,Male,19,under21,1,6360,215,0,true,false,false
Female,Male,22,over21,11,11781,709,1,false,false,true
Female,Male,23,over21,5,4586,354,0,false,true,false
Female,Male,20,under21,8,5446,120,0,true,false,false
Female,Male,24,over21,10,5358,90,1,false,true,false
Female,Male,22,over21,3,483,16,0,true,true,false
Female,Male,26,over21,3,6800,237,0,true,true,true
Female,Male,23,over21,2,2834,76,0,false,true,false
Female,Male,24,over21,8,5364,115,1,true,false,false
Female,None,20,under21,16,16903,1253,0,false,true,true
Female,Male,22,over21,4,4820,255,0,true,true,true
Female,Male,20,under21,3,3503,35,0,true,false,false
Female,None,21,under21,12,2277,59,0,true,false,false
Female,Male,23,over21,5,14329,444,0,true,true,true
Female,Male,22,over21,8,2408,33,0,false,false,false
Female,Male,21,under21,3,1649,70,0,false,true,false
Female,Male,19,under21,14,5402,141,0,false,true,false
Female,Male,23,over21,4,10730,475,0,false,true,false
Female,Male,21,under21,23,8351,214,1,false,false,false
Female,Male,19,under21,5,7609,186,0,true,false,false
Female,Male,22,over21,3,1572,17,0,true,false,false
Female,Male,23,over21,4,2383,49,2,true,true,true
Female,Male,20,under21,4,8649,471,1,true,true,false
Female,Male,20,under21,1,17533,1010,0,false,false,true
Female,Male,25,over21,6,6210,184,5,true,true,true
Female,Male,22,over21,4,7055,232,0,true,true,true
Female,Male,19,under21,5,7577,191,0,true,true,false
Female,Male,24,over21,1,252,1,0,true,true,false
Female,Male,20,under21,6,5876,89,1,true,false,false
